IDs;Initial Pvalue;Adjusted Pvalue;Fold Change
Xp_6d;0.00001;0.00004;-0.054
Xp_3d;0.00001;0.00004;-0.051
ATS1v;0.00001;0.00004;-0.047
ATS3v;0.00001;0.00004;-0.047
SRW08;0.00001;0.00004;-0.093
ATS2i;0.00001;0.00005;-0.044
ATS1d;0.00001;0.00005;-0.049
Xp_1dv;0.00001;0.00006;-0.048
ATSC4d;0.00001;0.00006;0.054
SMR;0.00001;0.00006;-0.047
ATS5p;0.00001;0.00006;-0.047
JGI3;0.00001;0.00006;0.070
ATSC3m;0.00002;0.00007;-0.043
Sp;0.00002;0.00007;-0.046
apol;0.00002;0.00007;-0.046
CIC2;0.00002;0.00007;-0.079
SMR_VSA1;0.00002;0.00007;0.014
piPC2;0.00002;0.00007;-0.092
Xpc_6d;0.00002;0.00007;-0.048
MWC04;0.00002;0.00007;-0.090
PEOE_VSA8;0.00002;0.00008;-0.070
nBonds;0.00002;0.00008;-0.045
VSA_EState3;0.00002;0.00008;0.040
ATSC7dv;0.00002;0.00009;0.046
Xpc_5d;0.00002;0.00009;-0.048
ATS4d;0.00003;0.00010;-0.046
MWC03;0.00003;0.00010;-0.088
Zagreb2;0.00003;0.00010;-0.049
ATS0v;0.00003;0.00010;-0.045
nBondsKS;0.00003;0.00010;-0.044
ATS8p;0.00003;0.00011;-0.047
ATSC3p;0.00003;0.00012;0.055
SRW06;0.00004;0.00013;-0.088
ATS6p;0.00004;0.00013;-0.046
nBondsKD;0.00004;0.00014;-0.057
ATS5i;0.00004;0.00014;-0.043
ATS5d;0.00004;0.00015;-0.046
ATS6d;0.00004;0.00016;-0.046
ATS4v;0.00005;0.00016;-0.044
AATS0d;0.00005;0.00018;-0.052
ATS3i;0.00005;0.00018;-0.043
EState_VSA2;0.00005;0.00019;-0.053
BertzCT;0.00005;0.00019;-0.044
CIC1;0.00006;0.00019;-0.075
ATS0d;0.00006;0.00020;-0.046
ATS7p;0.00006;0.00020;-0.045
ATSC5dv;0.00006;0.00020;0.066
ATSC1dv;0.00006;0.00021;-0.042
ATS1i;0.00006;0.00022;-0.042
SlogP_VSA4;0.00006;0.00022;-0.060
nAtom;0.00007;0.00023;-0.043
ATS6i;0.00007;0.00023;-0.043
Sv;0.00007;0.00023;-0.044
bpol;0.00007;0.00024;-0.043
TIC3;0.00008;0.00027;-0.042
TIC4;0.00008;0.00027;-0.040
ATS8d;0.00008;0.00027;-0.046
SssNH;0.00008;0.00027;-0.034
ATS4i;0.00009;0.00028;-0.041
TIC1;0.00009;0.00031;-0.045
TIC5;0.00010;0.00031;-0.039
MPC2;0.00010;0.00031;-0.046
TIC2;0.00010;0.00031;-0.043
ATS7d;0.00010;0.00032;-0.045
Si;0.00011;0.00034;-0.042
SRW04;0.00011;0.00035;-0.082
ATS5v;0.00011;0.00035;-0.043
MWC02;0.00011;0.00035;-0.082
Zagreb1;0.00011;0.00035;-0.046
piPC1;0.00012;0.00036;-0.082
ATS8v;0.00013;0.00041;-0.045
nBondsO;0.00014;0.00043;-0.046
MWC01;0.00014;0.00043;-0.046
SRW02;0.00014;0.00043;-0.080
ECIndex;0.00016;0.00047;-0.020
ATS7v;0.00016;0.00047;-0.044
Diameter;0.00016;0.00049;-0.042
ATS6v;0.00017;0.00049;-0.043
WPol;0.00017;0.00051;-0.044
ATS0i;0.00018;0.00052;-0.040
NssCH2;0.00018;0.00052;-0.054
VMcGowan;0.00018;0.00054;-0.042
nO;0.00019;0.00055;0.013
TMWC10;0.00019;0.00056;-0.046
ATSC5v;0.00020;0.00056;0.053
Radius;0.00020;0.00057;-0.041
VSA_EState8;0.00021;0.00061;-0.049
Xc_5dv;0.00023;0.00065;-0.050
ATS8i;0.00030;0.00085;-0.040
Xp_1d;0.00034;0.00098;-0.043
ABC;0.00035;0.00100;-0.044
Xc_3dv;0.00038;0.00106;-0.038
nBondsS;0.00038;0.00107;-0.040
LabuteASA;0.00041;0.00115;-0.042
ATS1Z;0.00052;0.00145;-0.042
IC3;0.00054;0.00148;-0.072
ATSC6dv;0.00055;0.00152;0.036
ATS2Z;0.00058;0.00159;-0.042
AATS0v;0.00058;0.00159;-0.062
ATS7i;0.00063;0.00171;-0.039
EState_VSA5;0.00064;0.00174;-0.044
ATS3Z;0.00067;0.00180;-0.041
GhoseFilter;0.00073;0.00197;-0.200
CIC5;0.00083;0.00221;-0.053
ATS3m;0.00083;0.00222;-0.040
ATS1m;0.00084;0.00223;-0.041
EState_VSA8;0.00092;0.00243;-0.032
ATS2m;0.00096;0.00253;-0.041
IC4;0.00096;0.00253;-0.073
C3SP3;0.00097;0.00253;-0.050
CIC3;0.00097;0.00253;-0.060
IC5;0.00098;0.00255;-0.073
nHeavyAtom;0.00101;0.00262;-0.041
GGI10;0.00103;0.00265;-0.038
WPath;0.00112;0.00287;-0.010
mZagreb2;0.00121;0.00310;-0.040
ATS4Z;0.00144;0.00366;-0.039
ATSC1i;0.00143;0.00366;0.043
VSA_EState4;0.00145;0.00367;-0.021
SMR_VSA3;0.00147;0.00371;-0.042
ATS3dv;0.00166;0.00418;-0.040
Xp_2d;0.00183;0.00459;-0.040
GGI6;0.00190;0.00473;-0.039
CIC4;0.00190;0.00474;-0.056
ABCGG;0.00197;0.00489;-0.041
ATSC2i;0.00204;0.00505;-0.005
ATS4m;0.00210;0.00517;-0.038
ATSC0d;0.00217;0.00531;-0.038
SZ;0.00227;0.00554;-0.038
TIC0;0.00232;0.00564;-0.037
nN;0.00233;0.00564;-0.039
ATSC3v;0.00254;0.00615;0.043
ATS7Z;0.00279;0.00672;-0.039
GGI3;0.00321;0.00771;-0.037
ATS7m;0.00345;0.00825;-0.039
Sm;0.00390;0.00930;-0.038
ZMIC0;0.00394;0.00933;-0.039
MW;0.00394;0.00933;-0.038
GGI4;0.00461;0.01089;-0.035
ATS8Z;0.00507;0.01194;-0.038
JGI9;0.00569;0.01335;0.014
ATS2dv;0.00643;0.01503;-0.039
Xpc_4d;0.00661;0.01540;-0.038
ATS5Z;0.00783;0.01818;-0.036
ATS8m;0.00789;0.01827;-0.037
