;Unnamed: 0;flavordb_id;smiles;applicability_domain;bitter_prob;sweet_prob;SMILES_check;Std_SMILES;Parent_SMILES
2414;2708;93046;CC1(C2CCC3(C1C2)CO3)C;True;0.4822590131930009;0.5064583633076704;CC1(C)C2CCC3(CO3)C1C2;CC1(C)C2CCC3(CO3)C1C2;CC1(C)C2CCC3(CO3)C1C2
2415;2709;121694;CCC1=C(OC(=N1)C)C;True;0.4546419604850888;0.5083506454605541;CCc1nc(C)oc1C;CCc1c(C)oc(C)n1;CCc1c(C)oc(C)n1
2416;2710;12570;CCCC1=CC=CC=C1O;True;0.2251663994225712;0.9209169122059232;CCCc1ccccc1O;CCCc1ccccc1O;CCCc1ccccc1O
2417;2712;24968;[O-]P1(=O)OP(=O)(OP(=O)(OP(=O)(OP(=O)(OP(=O)(O1)[O-])[O-])[O-])[O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+];True;0.53;1.3582250246321864e-14;O=P1([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+];O=P1([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+];O=P1(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O1
2418;2714;637520;COC(=O)C=CC1=CC=CC=C1;True;0.0442977699658191;0.9066955767079264;COC(=O)C=Cc1ccccc1;COC(=O)C=Cc1ccccc1;COC(=O)C=Cc1ccccc1
2419;2715;11086;CC(=O)C1=CC=CC=C1N;True;0.4000835754047997;0.5518895530298891;CC(=O)c1ccccc1N;CC(=O)c1ccccc1N;CC(=O)c1ccccc1N
2420;2716;13849;CCCCCCCCCCCCCCC(=O)O;True;0.3445698212197239;0.4098887825315305;CCCCCCCCCCCCCCC(=O)O;CCCCCCCCCCCCCCC(=O)O;CCCCCCCCCCCCCCC(=O)O
2421;2717;95392;CCOC(=O)CC1(OCC(O1)C)C;True;0.3181298024053594;0.5335159081747536;CCOC(=O)CC1(C)OCC(C)O1;CCOC(=O)CC1(C)OCC(C)O1;CCOC(=O)CC1(C)OCC(C)O1
2422;2718;57965774;CC(C)C(=O)C1C(=O)C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C;True;0.9662820512820512;0.0129871980685979;CC(C)=CCC1=C(O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(C(=O)C(C)C)C1=O;CC(C)=CCC1=C(O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(C(=O)C(C)C)C1=O;CC(C)=CCC1=C(O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(C(=O)C(C)C)C1=O
2423;2719;23662384;CC(=O)O.CC(=O)[O-].[Na+];True;0.3343072742358193;0.7275981832381955;CC(=O)O.CC(=O)[O-].[Na+];CC(=O)O.CC(=O)[O-].[Na+];CC(=O)O.CC(=O)[O-].[Na+]
2424;2720;7943;COC(=O)CC(=O)OC;True;0.1462714980402921;0.8889153779692436;COC(=O)CC(=O)OC;COC(=O)CC(=O)OC;COC(=O)CC(=O)OC
